Region,Mean,SD
LobulesIVage,7.206838043,6.407777242
LobulesVIIIXage,6.37881683,6.542798384
LobulesVIVIIage,6.383228686,6.693466636
Rightaccumbensage,8.463906995,6.881749857
Rightamygdalaage,6.900571873,6.485396039
Rightangulargyrusage,2.807991803,7.479004339
Rightanteriorcingulategyrusage,9.810790633,7.389185461
Rightanteriorinsulaage,5.881610676,6.753379448
Rightanteriororbitalgyrusage,6.955821277,7.856958887
Rightbasalforebrainage,8.010161091,6.744625912
Rightcalcarinecortexage,6.519292016,6.426112299
Rightcaudateage,8.818599293,6.803937725
Rightcentraloperculumage,5.298512729,6.663947369
Rightcerebellumexteriorage,3.893726623,6.301219196
RightcerebellumWhiteMatterage,4.970063676,5.998214751
RightcerebralWhiteMatterage,6.127892325,6.261629907
Rightcuneusage,6.714088458,6.810758271
Rightentorhinalareaage,6.577283399,6.792233488
Rightfrontaloperculumage,5.836259968,6.889824774
Rightfrontalpoleage,8.481893639,8.15379697
Rightfusiformgyrusage,3.679392378,6.114131634
Rightgyrusrectusage,8.37955874,7.776792357
Righthippocampusage,5.716514479,5.988517221
Rightinf.occipitalgyrusage,3.017501197,6.536350935
Rightinf.temporalgyrusage,3.478915612,6.441092537
Rightlateralorbitalgyrusage,5.468539697,7.966391633
Rightlingualgyrusage,6.130535479,6.132895595
Rightmedialfrontalcortexage,9.015782649,7.623666898
Rightmedialorbitalgyrusage,8.147009676,7.536004828
Rightmiddlecingulategyrusage,9.271027947,7.011766137
Rightmiddlefrontalgyrusage,6.231194474,7.197415405
Rightmiddleoccipitalgyrusage,2.964709612,7.166972312
Rightmiddletemporalgyrusage,3.89841675,6.709478569
Rightoccipitalfusiformgyrusage,3.74413475,6.403208115
Rightoccipitalpoleage,5.350860176,7.14250853
Rightopercularinf.frontalgyrusage,5.771964165,7.022795467
Rightorbitalinf.frontalgyrusage,5.28900116,7.545062759
Rightpallidumage,8.132471915,6.504455847
Rightparahippocampalgyrusage,5.887103165,6.176157125
Rightparietaloperculumage,4.449351782,6.905582026
Rightplanumpolareage,4.945047107,6.579849046
Rightplanumtemporaleage,4.564377288,6.926717197
Rightpostcentralgyrusage,3.812471043,7.200485278
Rightpostcentralgyrusmedialsegmentage,4.684045272,7.230972532
Rightposteriorcingulategyrusage,7.687988612,6.470141324
Rightposteriorinsulaage,5.034791011,6.333161252
Rightposteriororbitalgyrusage,6.344974527,7.055277739
Rightprecentralgyrusage,4.741348591,7.0152308
Rightprecentralgyrusmedialsegmentage,6.1181985,7.022427194
Rightprecuneusage,6.078223006,6.613669053
Rightputamenage,7.368706186,6.447187294
Rightsubcallosalareaage,8.748244341,7.077248721
Rightsup.frontalgyrusage,7.552015766,7.291232055
Rightsup.frontalgyrusmedialsegmentage,9.563959819,7.446759645
Rightsup.occipitalgyrusage,4.728663346,7.004401085
Rightsup.parietallobuleage,3.118232245,7.274225737
Rightsup.temporalgyrusage,4.415498777,6.792812601
Rightsupplementarymotorcortexage,7.697260218,7.269860808
Rightsupramarginalgyrusage,3.303265947,7.508303508
Righttemporalpoleage,5.096603553,7.12390357
Rightthalamusage,8.175920288,6.312882183
Righttransversetemporalgyrusage,4.845544889,6.339141354
Righttriangularinf.frontalgyrusage,5.721831628,7.448238174
RightventralDCage,7.816640075,6.413755356
